,role,situated_at,unit_id,IS
399,Staff,National/International Interlibrary Loan Office,STO0000256,StaffSTO0000256
400,Collaborator,Central Management,STO0000012,CollaboratorSTO0000012
401,Staff,CeRiN Administrative Services,STO0001741,StaffSTO0001741
402,Staff,Job Guidance,STO0008936,StaffSTO0008936
403,Director,Centre Agriculture Food Environment - C3A,STO0012250,DirectorSTO0012250
404,Full professor,Centre Agriculture Food Environment - C3A,STO0012250,FullprofessorSTO0012250
405,Staff,Technical and Administrative Staff Administration,STO0000883,StaffSTO0000883
406,Staff,Construction Projects and Contracts Office,STO0013625,StaffSTO0013625
407,Adjunct professor,Faculty of Law,STO0008624,AdjunctprofessorSTO0008624
408,Research grant holder,Department of Industrial Engineering,STO0008625,ResearchgrantholderSTO0008625
409,Head,Research Staff Recruitment Office,STO0013560,HeadSTO0013560
410,Staff,Research Staff Recruitment Office,STO0013560,StaffSTO0013560
411,Staff,Events Office,STO0012553,StaffSTO0012553
412,Visiting professor,Department of Industrial Engineering,STO0008625,VisitingprofessorSTO0008625
413,Teaching fellow,Centre for Medical Sciences - CISMED,STO0013533,TeachingfellowSTO0013533
414,Head,Directorate of Communication and External Relations,STO0013038,HeadSTO0013038
415,Senior staff,Directorate of Communication and External Relations,STO0013038,SeniorstaffSTO0013038
416,Staff,Centre for Integrative Biology - Laboratory Technicians,STO0008916,StaffSTO0008916
417,Staff,Purchasing support,STO0013744,StaffSTO0013744
418,Guest,Directorate of Communication and External Relations,STO0013038,GuestSTO0013038
419,Teaching fellow,University Language Centre,STO0008940,TeachingfellowSTO0008940
420,Head,"Student Support Service: Economics, Law and International Studies",STO0008929,HeadSTO0008929
421,PhD student,,STO0013847,PhDstudentSTO0013847
422,Coordinator,Doctoral programme вЂ“ Biomolecular Sciences,STO0002101,CoordinatorSTO0002101
423,Full professor,Doctoral programme вЂ“ Biomolecular Sciences,STO0002101,FullprofessorSTO0002101
424,PhD student,Doctoral programme - Development Economics and Local Systems,STO0010819,PhDstudentSTO0010819
425,Head,Administration Information Services,STO0013555,HeadSTO0013555
426,Alternate member,Board of Auditors,ORI0000006,AlternatememberORI0000006
427,Research collaborator,Department of Psychology and Cognitive Science,STO0008631,ResearchcollaboratorSTO0008631
428,Research collaborator,Center for Mind/Brain Sciences - CIMeC,STO0008663,ResearchcollaboratorSTO0008663
429,Head,Student Support Service: Humanities and Social Sciences,STO0008930,HeadSTO0008930
430,Guest,Centre Agriculture Food Environment - C3A,STO0012250,GuestSTO0012250
431,Staff,Technicians - Materials and Structures Testing Laboratory,STO0012808,StaffSTO0012808
432,Coordinator,Doctoral programme - Development Economics and Local Systems,STO0010819,CoordinatorSTO0010819
433,Guest,Doctoral programme - Development Economics and Local Systems,STO0010819,GuestSTO0010819
434,President,Student Council,ORI0000004,PresidentORI0000004
435,Member,Board of Discipline,ORI0000278,MemberORI0000278
436,Guest,Purchasing Directorate,STO0000861,GuestSTO0000861
437,Research grant holder,Center for Mind/Brain Sciences - CIMeC,STO0008663,ResearchgrantholderSTO0008663
